Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,29.0,174,2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,3,0,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.32,0.01,0.0
Ivan Prtajin,hr CRO,FW,Union Berlin,de Bundesliga,28.0,161,5,0,0,0,0,0,0.5,0.1,0.5,0.7,1,1,17,0,0,0.0,0.0,0.278,26.2,0,0,Mediocampista Creativo,0.31,0.11,-0.5
Javi Puado,es ESP,FW,Espanyol,es La Liga,26.0,2974,35,12,4,16,7,5,11.6,3.0,7.7,10.7,73,75,113,8,0,0.364,0.121,0.352,159.0,1,1,Delantero Goleador,15.46,16.05,0.4
Tymoteusz Puchacz,pl POL,DF,Holstein Kiel,de Bundesliga,25.0,396,10,0,1,1,0,0,0.1,0.6,0.1,0.7,13,8,30,0,0,0.0,0.227,0.023,13.9,0,0,Mediocampista Creativo,0.41,1.05,-0.1
Christian Pulisic,us USA,FW,Milan,it Serie A,25.0,2478,34,11,9,20,8,3,12.0,6.4,8.9,15.2,121,105,191,1,0,0.4,0.327,0.436,171.2,0,1,Delantero Goleador,19.39,19.1,-1.0
Jarell Quansah,eng ENG,DF,Liverpool,eng Premier League,21.0,495,13,0,0,0,0,0,0.1,0.1,0.1,0.2,3,19,4,2,0,0.0,0.0,0.018,12.1,0,0,Mediocampista Creativo,-0.09,0.0,-0.1
Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,20.0,1747,27,2,2,4,2,0,1.1,1.0,1.1,2.2,3,49,5,8,0,0.103,0.103,0.057,24.1,1,0,Mediocampista Creativo,1.89,3.24,0.9
Dani Raba,es ESP,FW,Leganés,es La Liga,28.0,1879,29,8,6,14,4,4,7.5,5.3,3.6,8.9,42,69,101,6,0,0.383,0.287,0.359,126.2,1,1,Delantero Goleador,13.11,13.33,0.5
Adrien Rabiot,fr FRA,MF,Marseille,fr Ligue 1,29.0,2485,29,9,4,13,9,0,7.3,3.8,7.3,11.1,79,168,174,4,0,0.326,0.145,0.264,90.5,1,1,Delantero Goleador,11.78,12.86,1.7
Hamza Rafia,tn TUN,MF,Lecce,it Serie A,25.0,1058,18,0,0,0,0,0,0.5,1.4,0.5,1.9,13,51,32,4,0,0.0,0.0,0.042,18.9,0,0,Mediocampista Creativo,1.68,0.68,-0.5
